number,value,datetime_start,datetime_complete,duration,params_BollingerBands_period,params_BollingerBands_std_dev,params_MACD_fast_period,params_MACD_signal_period,params_MACD_slow_period,params_RSI_period,params_SMA_long_period,params_SMA_short_period,params_position_size,params_stop_loss,params_take_profit,user_attrs_cagr,user_attrs_max_drawdown,user_attrs_total_return,state
25,0.0,2025-11-06 17:41:29.464119,2025-11-06 17:41:29.474402,0 days 00:00:00.010283,28,1.616698543700881,9,7,27,7,150,28,0.32902354527893707,0.024127762013485488,0.004036593306941405,0.0,0.0,0.0,COMPLETE
26,0.0,2025-11-06 17:41:29.476727,2025-11-06 17:41:29.487378,0 days 00:00:00.010651,22,1.7348392981665806,11,8,23,15,183,15,0.4110578070715739,0.012854976489213533,0.013405927771169852,0.0,0.0,0.0,COMPLETE
27,0.0,2025-11-06 17:41:29.489862,2025-11-06 17:41:29.500849,0 days 00:00:00.010987,15,2.459240523660378,13,9,21,12,124,21,0.2844659179550111,0.008855436320518146,0.02220983018069442,0.0,0.0,0.0,COMPLETE
28,0.0,2025-11-06 17:41:29.503762,2025-11-06 17:41:29.514917,0 days 00:00:00.011155,20,1.5073821965636784,15,11,25,10,52,50,0.18239097241534785,0.004171649682095081,0.001558509921249685,0.0,0.0,0.0,COMPLETE
29,0.0,2025-11-06 17:41:29.517399,2025-11-06 17:41:29.527811,0 days 00:00:00.010412,25,1.890846051933411,14,7,23,19,185,26,0.8511097155848327,0.0064612047387698004,0.008728609309231894,0.0,0.0,0.0,COMPLETE
30,0.0,2025-11-06 17:41:29.530117,2025-11-06 17:41:29.541454,0 days 00:00:00.011337,15,1.636307798261418,10,12,27,17,199,36,0.1474804075628276,0.014070851856513706,0.001010491782680533,0.0,0.0,0.0,COMPLETE
31,0.0,2025-11-06 17:41:29.543676,2025-11-06 17:41:29.554642,0 days 00:00:00.010966,12,1.6922000190721307,14,7,24,20,190,47,0.9836671005768917,0.00756910123327697,0.001522897920033327,0.0,0.0,0.0,COMPLETE
32,0.0,2025-11-06 17:41:29.556976,2025-11-06 17:41:29.568259,0 days 00:00:00.011283,19,1.9949849550324752,15,7,25,18,177,50,0.6434401507931614,0.004578378314839006,0.0011984361248324042,0.0,0.0,0.0,COMPLETE
33,0.0,2025-11-06 17:41:29.570866,2025-11-06 17:41:29.581645,0 days 00:00:00.010779,11,1.6200318989456002,9,8,21,19,146,45,0.7252595239878564,0.022162546223651446,0.0022242572840138392,0.0,0.0,0.0,COMPLETE
34,0.0,2025-11-06 17:41:29.584513,2025-11-06 17:41:29.597679,0 days 00:00:00.013166,16,1.7985758026214047,11,7,26,9,161,15,0.5570468868497754,0.049502924354808145,0.04040390288315777,0.0,0.0,0.0,COMPLETE
35,0.0,2025-11-06 17:41:29.600228,2025-11-06 17:41:29.612248,0 days 00:00:00.012020,14,1.9422239535307237,12,11,20,17,94,18,0.7594709672330948,0.0033066354016627023,0.00285282612092938,0.0,0.0,0.0,COMPLETE
